	WT-911-a_S119_L007_R1_001	WT-DHA-c_S134_L007_R1_001	WT-EPA-d_S142_L007_R1_001	Ob-a_S121_L007_R1_001
RE3586X_neg	7.809735979159089	7.748528321057287	7.3586951513290115	8.149747119504681
RE3587C_pos	0.0	0.0	0.0	0.0
RE3587C_neg	0.0	0.0	0.0	0.0
RE3587N_pos	0.0	0.0	0.0	0.0
RE3587N_neg	0.0	0.0	0.0	0.0
RE3596C_pos	6.24355484277846	6.822220271621528	6.197511592107616	7.872213143975773
RE3596C_neg	6.24355484277846	6.822220271621528	6.197511592107616	7.872213143975773
RE3596M_pos	0.0	0.0	0.0	0.0
RE3596M_neg	0.0	0.0	0.0	0.0
RE3596X_pos	0.0	0.0	0.0	0.0
RE3596X_neg	0.0	0.0	0.0	0.0
RE3597C_pos	6.24355484277846	6.822220271621528	6.197511592107616	7.872213143975773
RE3597C_neg	6.24355484277846	6.822220271621528	6.197511592107616	7.872213143975773
RE3597M_pos	0.0	0.0	0.0	0.0
RE3597M_neg	0.0	0.0	0.0	0.0
RE3597X_pos	0.0	0.0	0.0	0.0
RE3597X_neg	0.0	0.0	0.0	0.0
RE3624M_pos	9.377557603233406	9.311044389623397	9.226050871659655	10.307326057417006
RE3624X_pos	9.598759712750146	9.626092293315217	9.464892853878643	10.489225802019044
RE3626M_pos	9.377557603233406	9.311044389623397	9.226050871659655	10.307326057417006
RE3627C_pos	7.182195689807287	6.741332148787993	7.3103401206121505	7.996106236207055
RE3627C_neg	7.182195689807287	6.741332148787993	7.3103401206121505	7.996106236207055
RE3627M_pos	9.302456147992688	9.521482663892739	9.21356600260859	10.703661374091961
RE3627M_neg	9.302456147992688	9.521482663892739	9.21356600260859	10.703661374091961
RE3627X_pos	8.136324704708544	8.814806743093092	7.990501111363251	9.86965552850849
RE3627X_neg	8.136324704708544	8.814806743093092	7.990501111363251	9.86965552850849
RE3628M_pos	7.952799477899938	8.481718719195962	7.876946621522383	9.621099472935311
RE3628M_neg	7.952799477899938	8.481718719195962	7.876946621522383	9.621099472935311
RE3629C_pos	0.0	0.0	0.0	0.0
RE3630C_pos	0.0	0.0	0.0	0.0
RE3630C_neg	0.0	0.0	0.0	0.0
RE3631C_pos	0.0	0.0	0.0	0.0
RE3631C_neg	0.0	0.0	0.0	0.0
RE3633C_pos	0.0	0.0	0.0	0.0
RE3633C_neg	0.0	0.0	0.0	0.0
RE3636C_pos	0.0	0.0	0.0	0.0
RE3636C_neg	0.0	0.0	0.0	0.0
RN0001C_pos	0.0	0.0	0.0	0.0
RN0001R_pos	0.0	0.0	0.0	0.0
RN0002N_pos	0.0	0.0	0.0	0.0
RN0002R_pos	0.0	0.0	0.0	0.0
RN0013C_pos	0.0	0.0	0.0	0.0
RN0014R_pos	0.0	0.0	0.0	0.0
EX_prostgh2(e)_pos	0.0	0.0	0.0	0.0
EX_prostgh2(e)_neg	0.0	0.0	0.0	0.0
EX_prostgi2(e)_pos	0.0	0.0	0.0	0.0
EX_prostgi2(e)_neg	0.0	0.0	0.0	0.0
EX_ppi(e)_pos	0.0	0.0	0.0	0.0
EX_ppi(e)_neg	0.0	0.0	0.0	0.0
EX_cdp(e)_pos	0.0	0.0	0.0	0.0
EX_cdp(e)_neg	0.0	0.0	0.0	0.0
EX_dtdp(e)_pos	0.0	0.0	0.0	0.0
EX_dtdp(e)_neg	0.0	0.0	0.0	0.0
EX_HC00955(e)_pos	0.0	0.0	0.0	0.0
EX_HC00955(e)_neg	0.0	0.0	0.0	0.0
EX_HC00001(e)_pos	0.0	0.0	0.0	0.0
EX_HC00001(e)_neg	0.0	0.0	0.0	0.0
EX_HC00002(e)_pos	0.0	0.0	0.0	0.0
EX_HC00002(e)_neg	0.0	0.0	0.0	0.0
EX_HC00003(e)_pos	0.0	0.0	0.0	0.0
EX_HC00003(e)_neg	0.0	0.0	0.0	0.0
EX_HC00004(e)_pos	0.0	0.0	0.0	0.0
EX_HC00004(e)_neg	0.0	0.0	0.0	0.0
EX_citr_L(e)_pos	0.0	0.0	0.0	0.0
EX_citr_L(e)_neg	0.0	0.0	0.0	0.0
EX_HC01787(e)_pos	0.0	0.0	0.0	0.0
EX_HC01787(e)_neg	0.0	0.0	0.0	0.0
EX_C02470(e)_pos	0.0	0.0	0.0	0.0
