	WT.d_S141_L007_R1_001	Ob.DHA.e_S154_L007_R1_001	WT.1012.c_S135_L007_R1_001	Ob.DHA.b_S132_L007_R1_001
r0345_neg	7.077777073288276	7.476867688933087	7.198101209324823	7.758956037602715
r0354_pos	6.960697039304312	7.303689435474715	6.458283563635973	7.477272565045218
r0355_pos	6.960697039304312	7.303689435474715	6.458283563635973	7.477272565045218
r0357_pos	2.424922088210688	2.3504972470841334	1.4698859762744636	2.523561956057013
r0358_pos	2.424922088210688	2.3504972470841334	1.4698859762744636	2.523561956057013
r0360_pos	2.424922088210688	2.3504972470841334	1.4698859762744636	2.523561956057013
r0361_pos	2.424922088210688	2.3504972470841334	1.4698859762744636	2.523561956057013
r0363_pos	2.424922088210688	2.3504972470841334	1.4698859762744636	2.523561956057013
r0364_pos	2.424922088210688	2.3504972470841334	1.4698859762744636	2.523561956057013
r0365_pos	0.0	0.0	0.0	0.0
r0377_pos	1.232660756790275	2.060047383669939	1.7782085763980877	1.7949356628035362
r0381_pos	0.0	0.0	0.0	0.0
r0381_neg	0.0	0.0	0.0	0.0
r0383_pos	5.954196310386875	7.141238625511191	6.288819944090487	7.1195118103709785
r0384_pos	5.612352498752662	6.454340424752484	5.77899700616954	6.49761236561836
r0385_pos	6.188638294561388	6.852789571602447	6.330677902622785	6.843858255796592
r0386_pos	6.188638294561388	6.852789571602447	6.330677902622785	6.843858255796592
r0388_pos	6.149747119504682	6.3826672527450405	6.3842225329301625	6.3079748971135245
r0388_neg	6.149747119504682	6.3826672527450405	6.3842225329301625	6.3079748971135245
r0389_pos	6.149747119504682	6.3826672527450405	6.3842225329301625	6.3079748971135245
r0389_neg	6.149747119504682	6.3826672527450405	6.3842225329301625	6.3079748971135245
r0390_pos	0.0	0.0	0.0	0.0
r0390_neg	0.0	0.0	0.0	0.0
r0391_pos	6.96289600533726	7.324810603420484	7.102973004241397	7.247262961377992
r0391_neg	6.96289600533726	7.324810603420484	7.102973004241397	7.247262961377992
r0392_pos	10.195864300880995	11.200506315163926	10.359859350287824	11.276740909314347
r0392_neg	10.195864300880995	11.200506315163926	10.359859350287824	11.276740909314347
r0393_pos	10.195864300880995	11.200506315163926	10.359859350287824	11.276740909314347
r0394_pos	5.315421315945778	5.967860271169155	5.658497136656478	5.944155663440363
r0394_neg	5.315421315945778	5.967860271169155	5.658497136656478	5.944155663440363
r0395_pos	5.315421315945778	5.967860271169155	5.658497136656478	5.944155663440363
r0398_pos	8.184181095805469	8.968321196106267	8.305970520984387	8.970824901362617
r0399_pos	9.069879356708576	9.332998770259046	9.17147706719099	9.366081745032677
r0399_neg	9.069879356708576	9.332998770259046	9.17147706719099	9.366081745032677
