	Ob.EPA.c_S137_L007_R1_001	Ob.EPA.e_S153_L007_R1_001	Ob.1012.b_S133_L007_R1_001	WT.911.b_S129_L007_R1_001
H2MTer_L_pos	3.4828482830684653	3.3645724322958563	3.442280035252584	3.773996325111173
H2MTer_U_pos	3.4828482830684653	3.3645724322958563	3.442280035252584	3.773996325111173
H2O2syn_pos	0.0	0.070389327891398	0.0	0.41142624572646497
H2O2t_pos	0.0	0.0	0.0	0.0
H2O2t_neg	0.0	0.0	0.0	0.0
H2O2tly_pos	0.0	0.0	0.0	0.0
H2O2tly_neg	0.0	0.0	0.0	0.0
H2O2tm_pos	0.0	0.0	0.0	0.0
H2O2tn_pos	0.0	0.0	0.0	0.0
H2O2tn_neg	0.0	0.0	0.0	0.0
H2O2tp_pos	0.0	0.0	0.0	0.0
H2O2tp_neg	0.0	0.0	0.0	0.0
H2Ot_pos	8.221877081077034	8.251245689799124	8.519950702504634	6.903640874457703
H2Ot_neg	8.221877081077034	8.251245689799124	8.519950702504634	6.903640874457703
H2Oter_pos	0.0	0.0	0.0	0.0
H2Oter_neg	0.0	0.0	0.0	0.0
H2Otg_pos	0.0	0.0	0.0	0.0
H2Otg_neg	0.0	0.0	0.0	0.0
H2Otly_pos	0.0	0.0	0.0	0.0
H2Otly_neg	0.0	0.0	0.0	0.0
H2Otm_pos	8.221877081077034	8.251245689799124	8.519950702504634	6.903640874457703
H2Otm_neg	8.221877081077034	8.251245689799124	8.519950702504634	6.903640874457703
H2Otn_pos	0.0	0.0	0.0	0.0
H2Otn_neg	0.0	0.0	0.0	0.0
H2Otp_pos	0.0	0.0	0.0	0.0
H2Otp_neg	0.0	0.0	0.0	0.0
H3ETer_pos	2.1009776477248208	2.711494906650088	2.1634987322828794	1.925999418556223
H3MTer_L_pos	2.2357270598380583	2.4489009511451276	2.493134922305505	2.678071905112638
H3MTer_U_pos	2.2357270598380583	2.4489009511451276	2.493134922305505	2.678071905112638
H4ET3er_pos	4.282439805006387	4.679198570566922	4.412781525338476	4.357552004618084
H4ETer_pos	2.1009776477248208	2.711494906650088	2.1634987322828794	1.925999418556223
H5MTer_L_pos	3.4828482830684653	3.3645724322958563	3.442280035252584	3.773996325111173
H5MTer_U_pos	3.4828482830684653	3.3645724322958563	3.442280035252584	3.773996325111173
H6_ET2er_pos	3.2764966656403565	3.8439838440483265	3.371558862611963	3.289834465177509
H6ET3er_pos	4.282439805006387	4.679198570566922	4.412781525338476	4.357552004618084
H6_ETer_pos	2.1009776477248208	2.711494906650088	2.1634987322828794	1.925999418556223
H6MTer_L_pos	0.2016338611696504	0.0	0.23878685958711648	0.3785116232537299
H6MTer_U_pos	0.2016338611696504	0.0	0.23878685958711648	0.3785116232537299
H7ET2er_pos	3.2764966656403565	3.8439838440483265	3.371558862611963	3.289834465177509
H7_ETer_pos	2.1009776477248208	2.711494906650088	2.1634987322828794	1.925999418556223
H7MTer_L_pos	0.2016338611696504	0.0	0.23878685958711648	0.3785116232537299
H7MTer_U_pos	0.2016338611696504	0.0	0.23878685958711648	0.3785116232537299
H7_TAer_pos	4.068498846299809	4.1852322542301605	3.9204838682108734	3.813114191346289
H8MTer_L_pos	0.2016338611696504	0.0	0.23878685958711648	0.3785116232537299
H8TAer_pos	4.068498846299809	4.1852322542301605	3.9204838682108734	3.813114191346289
HACD1m_pos	9.80990475631141	9.980196712945036	9.800705802329471	8.743622676067654
HACD1m_neg	9.80990475631141	9.980196712945036	9.800705802329471	8.743622676067654
HACD1x_pos	9.446276910576213	9.666348291175895	9.339159659559895	8.089212108870425
HACD1x_neg	9.446276910576213	9.666348291175895	9.339159659559895	8.089212108870425
HACD9m_pos	10.026689418978547	10.213614602744721	10.03259679456199	8.720415284906329
HACD9m_neg	10.026689418978547	10.213614602744721	10.03259679456199	8.720415284906329
HAS1_pos	0.15055967657538138	0.070389327891398	0.08406426478847456	0.48542682717024166
HAS2_pos	0.15055967657538138	0.070389327891398	0.08406426478847456	0.48542682717024166
HAtly_pos	0.0	0.0	0.0	0.0
HBZOPT10m_pos	5.325530331567558	5.189824558880018	5.242983516109694	4.809928865721431
HCO3_CLt_pos	3.840966704487421	4.210232990095849	3.8257856274647914	3.807354922057604
HCO3_CLt_neg	3.840966704487421	4.210232990095849	3.8257856274647914	3.807354922057604
HCOUMARINte_pos	0.0	0.0	0.0	0.0
HCOUMARINte_neg	0.0	0.0	0.0	0.0
HDCAter_pos	0.0	0.0	0.0	0.0
HDCAtr_pos	8.880410035293535	9.120756272978472	8.809446600953146	8.979568100095186
HDCAtr_neg	8.880410035293535	9.120756272978472	8.809446600953146	8.979568100095186
HDCEAtr_pos	9.558784211314958	9.775643199837265	9.599950024569853	9.906379550611977
HDCEAtr_neg	9.558784211314958	9.775643199837265	9.599950024569853	9.906379550611977
HDD2COAtx_pos	0.0	0.0	0.0	0.0
HDD2COAtx_neg	0.0	0.0	0.0	0.0
HESTRATRIOLte_pos	0.0	0.0	0.0	0.0
HESTRATRIOLte_neg	0.0	0.0	0.0	0.0
HESTRATRIOLtr_pos	0.0	0.0	0.0	0.0
HESTRATRIOLtr_neg	0.0	0.0	0.0	0.0
HEX1_pos	7.405056345873811	7.70659961901207	7.485185284343958	7.095713484251265
HEX10_pos	7.405056345873811	7.70659961901207	7.485185284343958	7.095713484251265
