	WT.DHA.d_S143_L007_R1_001	WT.DHA.b_S128_L007_R1_001	WT.EPA.a_S117_L007_R1_001	WT.1012.d_S145_L007_R1_001
FAOXC2031836m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC204_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC204184m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC2051843m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC2051843x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC2242046m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC2242046x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC2251836m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC2251836x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC2252053m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC2252053x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC226_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC226205m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC226205x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC240200x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC241181x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC2442246x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC2452253x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC2452256x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC246226x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC260240x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC80_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAS100COA_pos	7.147170998734021	5.731997786643743	6.917372079476841	6.892654119705124
FAS120COA_pos	7.147170998734021	5.731997786643743	6.917372079476841	6.892654119705124
FAS140COA_pos	7.147170998734021	5.731997786643743	6.917372079476841	6.892654119705124
FAS160COA_pos	7.147170998734021	5.731997786643743	6.917372079476841	6.892654119705124
FAS180COA_pos	7.147170998734021	5.731997786643743	6.917372079476841	6.892654119705124
FAS80COA_L_pos	6.926473911256073	5.514122260170708	6.696967526234287	6.672283894347392
FATP1t_pos	4.025028794491522	4.050501697446727	3.9001422603598166	4.320484678017694
FATP1t_neg	4.025028794491522	4.050501697446727	3.9001422603598166	4.320484678017694
FATP2t_pos	2.327687364176047	2.127633279725874	1.5459683691052926	2.495695162624069
FATP2t_neg	2.327687364176047	2.127633279725874	1.5459683691052926	2.495695162624069
FATP3t_pos	2.327687364176047	2.127633279725874	1.5459683691052926	2.495695162624069
FATP3t_neg	2.327687364176047	2.127633279725874	1.5459683691052926	2.495695162624069
FATP4t_pos	8.624832002453465	8.897028604964973	8.735759086927853	8.732879691805174
FATP4t_neg	8.624832002453465	8.897028604964973	8.735759086927853	8.732879691805174
FATP5t_pos	8.624832002453465	8.897028604964973	8.735759086927853	8.732879691805174
FATP5t_neg	8.624832002453465	8.897028604964973	8.735759086927853	8.732879691805174
FATP6t_pos	9.903128676812319	10.369019280088622	9.868066291811738	10.40027107121596
FATP6t_neg	9.903128676812319	10.369019280088622	9.868066291811738	10.40027107121596
FATP7t_pos	9.903128676812319	10.369019280088622	9.868066291811738	10.40027107121596
FATP7t_neg	9.903128676812319	10.369019280088622	9.868066291811738	10.40027107121596
FATP8t_pos	9.903128676812319	10.369019280088622	9.868066291811738	10.40027107121596
FATP8t_neg	9.903128676812319	10.369019280088622	9.868066291811738	10.40027107121596
FATP9t_pos	9.903128676812319	10.369019280088622	9.868066291811738	10.40027107121596
FATP9t_neg	9.903128676812319	10.369019280088622	9.868066291811738	10.40027107121596
FBA_pos	11.137196098588232	11.041857611213059	11.30784970515644	11.265152044056332
FBA_neg	11.137196098588232	11.041857611213059	11.30784970515644	11.265152044056332
FBA2_pos	11.137196098588232	11.041857611213059	11.30784970515644	11.265152044056332
FBA2_neg	11.137196098588232	11.041857611213059	11.30784970515644	11.265152044056332
FBA4_pos	11.137196098588232	11.041857611213059	11.30784970515644	11.265152044056332
FBA4_neg	11.137196098588232	11.041857611213059	11.30784970515644	11.265152044056332
FBA5_pos	11.075492520093722	10.991224206378417	11.234506110632884	11.208557495594013
FBA5_neg	11.075492520093722	10.991224206378417	11.234506110632884	11.208557495594013
